Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2024-03-24,1504.0,,192,66.83333333333333,66.68635530786408,1504.0,1504.0,cut,66.63902656796844,-0.034083214495458
2024-03-25,1951.0,,193,66.86666666666667,66.74553867545062,1951.0,1951.0,cut,66.60509144812322,-0.0337880359679114
2024-03-26,1634.0,66.6,194,66.9,66.81424983873343,1634.0,1634.0,cut,66.5714484651204,-0.033498950050277664
2024-03-27,2013.0,,195,66.93333333333334,66.88473378743657,2013.0,2013.0,cut,66.53809149983334,-0.03321600854526707
2024-03-28,2228.0,,196,66.96666666666667,66.94923551128407,2031.0,2214.806021903766,cut,66.50501438485415,-0.03293925624667793
2024-03-29,2049.0,67.0,197,67.0,67.0,2049.0,2049.0,cut,66.47221091150259,-0.03266873105876774
2024-03-30,1609.0,,198,66.98571428571428,67.03096528128461,1609.0,1609.0,cut,66.43967483684479,-0.032404463476135945
2024-03-31,1121.0,66.5,199,66.97142857142858,67.04284153474323,1121.0,1121.0,cut,66.40739989071459,-0.03214647733180698
2024-04-01,1848.0,,200,66.95714285714286,67.03803197795733,1848.0,1848.0,cut,66.37537978272577,-0.03189478932365357
2024-04-02,1778.0,,201,66.94285714285715,67.01893982850855,1778.0,1778.0,cut,66.34360820926638,-0.03164940939915558
2024-04-03,2059.0,,202,66.92857142857143,66.98796830397838,1806.0,1597.7764326507377,cut,66.31207886046373,-0.03141033995959219
2024-04-04,1429.0,67.3,203,66.91428571428573,66.94752062194834,1834.0,1635.648161881989,cut,66.2807854271101,-0.031177577135702943
2024-04-05,1862.0,66.9,204,66.9,66.9,1862.0,1862.0,cut,66.24972160755037,-0.030951109917628138
2024-04-06,1974.0,,205,66.81818181818183,66.84745003842502,1974.0,1974.0,cut,66.2188811145013,-0.03073092061273523
2024-04-07,1460.0,66.9,206,66.73636363636363,66.79047586835539,1460.0,1460.0,cut,66.18825768182201,-0.03051698470208919
2024-04-08,1909.0,,207,66.65454545454546,66.72932300363331,1909.0,1909.0,cut,66.15784507118752,-0.03030927073410794
2024-04-09,1340.0,67.6,208,66.57272727272728,66.66423695810093,1693.5,1850.8909706688924,cut,66.12763707873086,-0.030107741353665084
2024-04-10,1478.0,,209,66.4909090909091,66.59546324560034,1478.0,1478.0,cut,66.09762754153799,-0.029912352299277245
2024-04-11,1471.0,,210,66.4090909090909,66.52324737997375,1471.0,1471.0,cut,66.06781034409362,-0.029723052941695492
2024-04-12,1638.0,66.3,211,66.32727272727273,66.44783487506325,1638.0,1638.0,cut,66.03817942460533,-0.029539786410855605
