Date,Calories,Weight,day
2024-12-25,2379.0,65.0,468
2024-12-26,2618.0,65.0,469
2024-12-27,2580.0,65.6,470
2024-12-28,2236.0,65.5,471
2024-12-29,2493.0,65.2,472
2024-12-30,2527.0,64.8,473
2024-12-31,2493.0,64.8,474
2025-01-01,2257.0,65.3,475
2025-01-02,2522.0,64.9,476
2025-01-03,2426.0,64.9,477
2025-01-04,2436.0,65.5,478
2025-01-05,2851.0,65.5,479
2025-01-06,2397.0,66.6,480
2025-01-07,2414.0,66.0,481
2025-01-08,2461.0,65.0,482
2025-01-09,2542.0,65.2,483
2025-01-10,2505.0,65.2,484
2025-01-11,2603.0,65.9,485
2025-01-12,2581.0,65.9,486
2025-01-13,2527.0,65.9,487
2025-01-14,2529.0,,488
2025-01-15,2352.0,65.9,489
2025-01-16,2620.0,65.9,490
2025-01-17,2491.0,66.5,491
2025-01-18,2536.0,66.8,492
2025-01-19,2072.0,67.7,493
2025-01-20,1924.0,67.8,494
2025-01-21,2154.0,66.9,495
2025-01-22,2259.0,67.1,496
2025-01-23,2259.0,67.3,497
2025-01-24,2345.0,66.6,498
2025-01-25,2276.0,67.4,499
2025-01-26,2296.0,66.9,500
2025-01-27,2122.0,67.8,501
2025-01-28,2603.0,66.7,502
2025-01-29,2445.0,,503
2025-01-30,2399.0,,504
2025-01-31,2284.0,67.2,505
2025-02-01,1965.0,,506
2025-02-02,1977.0,67.7,507
2025-02-03,2008.0,67.7,508
2025-02-04,1966.0,68.1,509
2025-02-05,2241.0,68.2,510
2025-02-06,2275.0,67.7,511
2025-02-07,1705.0,67.3,512
2025-02-08,1967.0,67.1,513
2025-02-09,2068.0,,514
2025-02-10,2379.0,66.6,515
2025-02-11,2492.0,67.1,516
2025-02-12,2678.0,67.8,517
2025-02-13,,,518
2025-02-14,,,519
2025-02-15,,,520
2025-02-16,,,521
2025-02-17,2201.0,,522
2025-02-18,2034.0,66.6,523
2025-02-19,2317.0,,524
2025-02-20,2138.0,66.2,525
2025-02-21,2007.0,66.8,526
2025-02-22,1797.0,,527
2025-02-23,1985.0,66.4,528
2025-02-24,1769.0,,529
2025-02-25,1953.0,,530
2025-02-26,1705.0,,531
2025-02-27,2046.0,67.0,532
2025-02-28,2031.0,67.0,533
2025-03-01,1693.0,67.1,534
2025-03-02,1441.0,67.1,535
2025-03-03,1735.0,67.4,536
2025-03-04,1713.0,66.2,537
2025-03-05,1817.0,66.7,538
2025-03-06,1657.0,66.7,539
2025-03-07,1725.0,66.8,540
2025-03-08,1863.0,,541
2025-03-09,1816.0,66.8,542
2025-03-10,1809.0,66.2,543
